origin,destination,origin_city,origin_flag,destination_city,destination_flag,airline,airline_emoji,flight_number,aircraft,duration
VVTS,WIII,Ho Chi Minh City,flag_vn,Jakarta,flag_id,Garuda Indonesia,GarudaTail,GA8350,"Garuda Indonesia Boeing 737-800, Garuda Indonesia Airbus A330-900",2:50
WADD,RKSI,Denpasar Bali,flag_id,Seoul Incheon,flag_kr,Garuda Indonesia,GarudaTail,GA870,"Garuda Indonesia Airbus A330-300, Garuda Indonesia Airbus A330-900, Garuda Indonesia Boeing 777-300ER",6:35
RKSI,WADD,Seoul Incheon,flag_kr,Denpasar Bali,flag_id,Garuda Indonesia,GarudaTail,GA871,"Garuda Indonesia Airbus A330-300, Garuda Indonesia Airbus A330-900, Garuda Indonesia Boeing 777-300ER",6:35
WIII,EHAM,Jakarta,flag_id,Amsterdam,flag_nl,Garuda Indonesia,GarudaTail,GA88,"Garuda Indonesia Airbus A330-900, Garuda Indonesia Boeing 777-300ER",14:20
WADD,RJAA,Denpasar Bali,flag_id,Tokyo Narita,flag_jp,Garuda Indonesia,GarudaTail,GA880,"Garuda Indonesia Airbus A330-300, Garuda Indonesia Airbus A330-900, Garuda Indonesia Boeing 777-300ER",6:50
RJAA,WADD,Tokyo Narita,flag_jp,Denpasar Bali,flag_id,Garuda Indonesia,GarudaTail,GA881,"Garuda Indonesia Airbus A330-300, Garuda Indonesia Airbus A330-900, Garuda Indonesia Boeing 777-300ER",6:50
EHAM,WIII,Amsterdam,flag_nl,Jakarta,flag_id,Garuda Indonesia,GarudaTail,GA89,"Garuda Indonesia Airbus A330-900, Garuda Indonesia Boeing 777-300ER",14:20
WIII,ZGGG,Jakarta,flag_id,Guangzhou,flag_cn,Garuda Indonesia,GarudaTail,GA898,"Garuda Indonesia Boeing 737-800, Garuda Indonesia Airbus A330-300, Garuda Indonesia Airbus A330-900, Garuda Indonesia Boeing 777-300ER",4:50
ZGGG,WIII,Guangzhou,flag_cn,Jakarta,flag_id,Garuda Indonesia,GarudaTail,GA899,"Garuda Indonesia Boeing 737-800, Garuda Indonesia Airbus A330-300, Garuda Indonesia Airbus A330-900, Garuda Indonesia Boeing 777-300ER",4:50
WADD,VCBI,Denpasar Bali,flag_id,Colombo,flag_lk,Garuda Indonesia,GarudaTail,GA9840 A,Garuda Indonesia Airbus A330-900,4:50
VCBI,VRMM,Colombo,flag_lk,Male,flag_mv,Garuda Indonesia,GarudaTail,GA9840 B,Garuda Indonesia Airbus A330-900,1:40
VRMM,VCBI,Male,flag_mv,Colombo,flag_lk,Garuda Indonesia,GarudaTail,GA9850 A,Garuda Indonesia Airbus A330-900,1:40
VCBI,WADD,Colombo,flag_lk,Denpasar Bali,flag_id,Garuda Indonesia,GarudaTail,GA9850 B,Garuda Indonesia Airbus A330-900,4:50
WIII,EGGP,Jakarta,flag_id,Liverpool,flag_gb,Garuda Indonesia,GarudaTail,GA990,Garuda Indonesia Airbus A330-300,14:30
EGGP,WIII,Liverpool,flag_gb,Jakarta,flag_id,Garuda Indonesia,GarudaTail,GA991,Garuda Indonesia Airbus A330-300,14:30
OBBI,VRMM,Bahrain,flag_bh,Male,flag_mv,Gulf Air,GulfAirtail,GF144 A,Gulf Air Airbus A321,4:20
VRMM,VCBI,Male,flag_mv,Colombo,flag_lk,Gulf Air,GulfAirtail,GF144 B,Gulf Air Airbus A321,1:10
VCBI,VRMM,Colombo,flag_lk,Male,flag_mv,Gulf Air,GulfAirtail,GF145 A,Gulf Air Airbus A321,1:10
VRMM,OBBI,Male,flag_mv,Bahrain,flag_bh,Gulf Air,GulfAirtail,GF145 B,Gulf Air Airbus A321,4:35
OBBI,RPLL,Bahrain,flag_bh,Manila,flag_ph,Gulf Air,GulfAirtail,GF154,Gulf Air Boeing 787-9,8:00
RPLL,OBBI,Manila,flag_ph,Bahrain,flag_bh,Gulf Air,GulfAirtail,GF155,Gulf Air Boeing 787-9,9:15
OBBI,WSSS,Bahrain,flag_bh,Singapore,flag_sg,Gulf Air,GulfAirtail,GF165,Gulf Air Boeing 787-9,7:30
WSSS,OBBI,Singapore,flag_sg,Bahrain,flag_bh,Gulf Air,GulfAirtail,GF166,Gulf Air Boeing 787-9,7:35
OBBI,OEJN,Bahrain,flag_bh,Jeddah,flag_sa,Gulf Air,GulfAirtail,GF171,"Gulf Air Airbus A321, Generic Airbus A320",2:15
OEJN,OBBI,Jeddah,flag_sa,Bahrain,flag_bh,Gulf Air,GulfAirtail,GF172,"Gulf Air Airbus A321, Generic Airbus A320",2:00
OBBI,OEMA,Bahrain,flag_bh,Medina,flag_sa,Gulf Air,GulfAirtail,GF179,Generic Airbus A320,2:00
OEMA,OBBI,Medina,flag_sa,Bahrain,flag_bh,Gulf Air,GulfAirtail,GF180,Generic Airbus A320,1:50
OBBI,EGBB,Bahrain,flag_bh,Birmingham,flag_gb,Gulf Air,GulfAirtail,GF2010,Gulf Air Boeing 787-9,6:30
EGBB,OBBI,Birmingham,flag_gb,Bahrain,flag_bh,Gulf Air,GulfAirtail,GF2011,Gulf Air Boeing 787-9,6:00
OBBI,VOHS,Bahrain,flag_bh,Hyderabad,flag_in,Gulf Air,GulfAirtail,GF274,Gulf Air Airbus A321,3:34
VOHS,OBBI,Hyderabad,flag_in,Bahrain,flag_bh,Gulf Air,GulfAirtail,GF275,Gulf Air Airbus A321,4:15
OBBI,VOBL,Bahrain,flag_bh,Bengaluru,flag_in,Gulf Air,GulfAirtail,GF280,Gulf Air Airbus A321,3:50
VOBL,OBBI,Bengaluru,flag_in,Bahrain,flag_bh,Gulf Air,GulfAirtail,GF281,Gulf Air Airbus A321,4:30
OBBI,VOGO,Bahrain,flag_bh,Goa,flag_in,Gulf Air,GulfAirtail,GF284,Gulf Air Airbus A321,3:10
VOGO,OBBI,Goa,flag_in,Bahrain,flag_bh,Gulf Air,GulfAirtail,GF285,Gulf Air Airbus A321,3:10
EGCC,OBBI,Manchester,flag_gb,Bahrain,flag_bh,Gulf Air,GulfAirtail,GF4,Gulf Air Boeing 787-9,6:30
OBBI,EGCC,Bahrain,flag_bh,Manchester,flag_gb,Gulf Air,GulfAirtail,GF5,Gulf Air Boeing 787-9,6:40
OBBI,OMDB,Bahrain,flag_bh,Dubai,flag_ae,Gulf Air,GulfAirtail,GF500,"Gulf Air Airbus A321, Generic Airbus A320, Gulf Air Boeing 787-9",0:50
OMDB,OBBI,Dubai,flag_ae,Bahrain,flag_bh,Gulf Air,GulfAirtail,GF501,"Gulf Air Airbus A321, Generic Airbus A320, Gulf Air Boeing 787-9",1:00
OBBI,VOMM,Bahrain,flag_bh,Chennai,flag_in,Gulf Air,GulfAirtail,GF52,Gulf Air Airbus A321,4:00
VOMM,OBBI,Chennai,flag_in,Bahrain,flag_bh,Gulf Air,GulfAirtail,GF53,Gulf Air Airbus A321,4:35
OBBI,VABB,Bahrain,flag_bh,Mumbai,flag_in,Gulf Air,GulfAirtail,GF56,Gulf Air Airbus A321,3:30
VABB,OBBI,Mumbai,flag_in,Bahrain,flag_bh,Gulf Air,GulfAirtail,GF57,Gulf Air Airbus A321,3:30
HECA,OBBI,Cairo,flag_eg,Bahrain,flag_bh,Gulf Air,GulfAirtail,GF70,"Gulf Air Airbus A321, Generic Airbus A320",2:30
OBBI,HECA,Bahrain,flag_bh,Cairo,flag_eg,Gulf Air,GulfAirtail,GF71,"Gulf Air Airbus A321, Generic Airbus A320",3:00
OBBI,DIAP,Bahrain,flag_bh,Abidjan,flag_ci,Gulf Air,GulfAirtail,GF731,Gulf Air Boeing 787-9,9:00
DIAP,OBBI,Abidjan,flag_ci,Bahrain,flag_bh,Gulf Air,GulfAirtail,GF732,Gulf Air Boeing 787-9,8:45
OBBI,GOBD,Bahrain,flag_bh,Dakar,flag_sn,Gulf Air,GulfAirtail,GF733,Gulf Air Boeing 787-9,9:30
GOBD,OBBI,Dakar,flag_sn,Bahrain,flag_bh,Gulf Air,GulfAirtail,GF734,Gulf Air Boeing 787-9,9:15
OBBI,FNLU,Bahrain,flag_bh,Luanda,flag_ao,Gulf Air,GulfAirtail,GF735,Gulf Air Boeing 787-9,8:00
FNLU,OBBI,Luanda,flag_ao,Bahrain,flag_bh,Gulf Air,GulfAirtail,GF736,Gulf Air Boeing 787-9,8:00
OBBI,FQMA,Bahrain,flag_bh,Maputo,flag_mz,Gulf Air,GulfAirtail,GF745,Gulf Air Boeing 787-9,8:30
FQMA,OBBI,Maputo,flag_mz,Bahrain,flag_bh,Gulf Air,GulfAirtail,GF746,Gulf Air Boeing 787-9,8:15
OPKC,OBBI,Karachi,flag_pk,Bahrain,flag_bh,Gulf Air,GulfAirtail,GF753,"Gulf Air Airbus A321, Generic Airbus A320",2:40
VIDP,VEBD,Delhi,flag_in,Bagdogra,flag_in,Air India Express,AirIndiaTail,IX1713,Air India Express Boeing 737-800,1:40
VEBD,VIDP,Bagdogra,flag_in,Delhi,flag_in,Air India Express,AirIndiaTail,IX1714,Air India Express Boeing 737-800,1:40
VABB,VISR,Mumbai,flag_in,Srinagar,flag_in,Air India Express,AirIndiaTail,IX1993,Air India Express Boeing 737-800,2:10
VISR,VABB,Srinagar,flag_in,Mumbai,flag_in,Air India Express,AirIndiaTail,IX1994,Air India Express Boeing 737-800,2:10
KJFK,KFLL,New York JFK,flag_us,Fort Lauderdale,flag_us,JetBlue,VBTail,JBU1,JetBlue Airbus A321,3:07
TJSJ,TIST,San Juan,flag_pr,St. Thomas,flag_vi,JetBlue,VBTail,JBU1036,JetBlue Airbus A320,0:34
KLGA,KTPA,New York LaGuardia,flag_us,Tampa,flag_us,JetBlue,VBTail,JBU1517,JetBlue Airbus A320,2:54
KBOS,KSAV,Boston,flag_us,Savannah,flag_us,JetBlue,VBTail,JBU1749,"JetBlue Airbus A321, JetBlue Airbus A320, JetBlue Airbus A220-300",2:10
KSAV,KBOS,Savannah,flag_us,Boston,flag_us,JetBlue,VBTail,JBU1750,"JetBlue Airbus A321, JetBlue Airbus A320, JetBlue Airbus A220-300",1:55
KRDU,KTPA,Raleigh Durham,flag_us,Tampa,flag_us,JetBlue,VBTail,JBU1975,JetBlue E190,1:57
KTPA,KRDU,Tampa,flag_us,Raleigh Durham,flag_us,JetBlue,VBTail,JBU1976,JetBlue E190,1:48
KFLL,KJFK,Fort Lauderdale,flag_us,New York JFK,flag_us,JetBlue,VBTail,JBU2,JetBlue Airbus A321,2:56
KLAX,KSEA,Los Angeles,flag_us,Seattle,flag_us,JetBlue,VBTail,JBU2006,JetBlue Airbus A320,2:47
KSEA,KLAX,Seattle,flag_us,Los Angeles,flag_us,JetBlue,VBTail,JBU2007,JetBlue Airbus A320,2:36
KBPI,KLAX,Big Piney,flag_us,Los Angeles,flag_us,JetBlue,VBTail,JBU2009,JetBlue Airbus A321,6:33
KLAX,KBPI,Los Angeles,flag_us,Big Piney,flag_us,JetBlue,VBTail,JBU2010,JetBlue Airbus A321,4:52
KBOS,TXKF,Boston,flag_us,Bermuda,flag_bm,JetBlue,VBTail,JBU203,JetBlue Airbus A320,2:06
TXKF,KBOS,Bermuda,flag_bm,Boston,flag_us,JetBlue,VBTail,JBU204,JetBlue Airbus A320,2:21
KJFK,KLAX,New York JFK,flag_us,Los Angeles,flag_us,JetBlue,VBTail,JBU23,JetBlue Airbus A321,6:11
KLAX,KJFK,Los Angeles,flag_us,New York JFK,flag_us,JetBlue,VBTail,JBU24,JetBlue Airbus A321,5:18
KEWR,KMCO,Newark,flag_us,Orlando,flag_us,JetBlue,VBTail,JBU27,JetBlue Airbus A320,2:43
KFLL,TNCM,Fort Lauderdale,flag_us,Sint Maarten,flag_sx,JetBlue,VBTail,JBU2761,JetBlue Airbus A320,2:53
KMCO,KEWR,Orlando,flag_us,Newark,flag_us,JetBlue,VBTail,JBU28,JetBlue Airbus A320,2:42
TJSJ,MDPC,San Juan,flag_pr,Punta Cana,flag_do,JetBlue,VBTail,JBU31,JetBlue E190,0:52
KTPA,KLGA,Tampa,flag_us,New York LaGuardia,flag_us,JetBlue,VBTail,JBU316,JetBlue Airbus A320,2:27
KFLL,KSLC,Fort Lauderdale,flag_us,Salt Lake City,flag_us,JetBlue,VBTail,JBU319,JetBlue Airbus A320,5:26
MDPC,TJSJ,Punta Cana,flag_do,San Juan,flag_pr,JetBlue,VBTail,JBU32,JetBlue E190,0:41
KSLC,KFLL,Salt Lake City,flag_us,Fort Lauderdale,flag_us,JetBlue,VBTail,JBU320,JetBlue Airbus A320,4:24
KBOS,LFPG,Boston,flag_us,Paris Charles de Gaulle,flag_fr,JetBlue,VBTail,JBU33,JetBlue Airbus A321,6:30
LFPG,KBOS,Paris Charles de Gaulle,flag_fr,Boston,flag_us,JetBlue,VBTail,JBU34,JetBlue Airbus A321,7:45
KBDL,KBPI,Hartford,flag_us,Big Piney,flag_us,JetBlue,VBTail,JBU541,JetBlue E190,3:13
KBPI,KBDL,Big Piney,flag_us,Hartford,flag_us,JetBlue,VBTail,JBU542,JetBlue E190,2:49
KJFK,CYVR,New York JFK,flag_us,Vancouver,flag_ca,JetBlue,VBTail,JBU603,JetBlue Airbus A321,5:10
CYVR,KJFK,Vancouver,flag_ca,New York JFK,flag_us,JetBlue,VBTail,JBU604,JetBlue Airbus A321,5:00
EGPH,KJFK,Edinburgh,flag_gb,New York JFK,flag_us,JetBlue,VBTail,JBU72,JetBlue Airbus A321,7:15
KJFK,EGPH,New York JFK,flag_us,Edinburgh,flag_gb,JetBlue,VBTail,JBU73,JetBlue Airbus A321,6:20
TNCM,KFLL,Sint Maarten,flag_sx,Fort Lauderdale,flag_us,JetBlue,VBTail,JBU762,JetBlue Airbus A320,3:14
TIST,TJSJ,St. Thomas,flag_vi,San Juan,flag_pr,JetBlue,VBTail,JBU808,JetBlue Airbus A320,0:42
KEWR,MBPV,Newark,flag_us,Providenciales,flag_tc,JetBlue,VBTail,JBU867,JetBlue Airbus A320,2:37
MBPV,KEWR,Providenciales,flag_tc,Newark,flag_us,JetBlue,VBTail,JBU868,JetBlue Airbus A320,4:37
KALB,KFLL,Albany,flag_us,Fort Lauderdale,flag_us,JetBlue,VBTail,JBU87,JetBlue Airbus A320,3:22
KFLL,KALB,Fort Lauderdale,flag_us,Albany,flag_us,JetBlue,VBTail,JBU88,JetBlue Airbus A320,3:01
MRLB,KLAX,Liberia,flag_cr,Los Angeles,flag_us,JetBlue,VBTail,JBU979,JetBlue Airbus A321,6:17
KLAX,MRLB,Los Angeles,flag_us,Liberia,flag_cr,JetBlue,VBTail,JBU980,JetBlue Airbus A321,5:20
HKJK,KJFK,Nairobi,flag_ke,New York JFK,flag_us,Kenya Airways,kenyaVA,KQ002,Kenya Airways Boeing 787-8,14:47
KJFK,HKJK,New York JFK,flag_us,Nairobi,flag_ke,Kenya Airways,kenyaVA,KQ003,Kenya Airways Boeing 787-8,14:47
HKJK,EGLL,Nairobi,flag_ke,London Heathrow,flag_gb,Kenya Airways,kenyaVA,KQ100,Kenya Airways Boeing 787-8,8:47
EGLL,HKJK,London Heathrow,flag_gb,Nairobi,flag_ke,Kenya Airways,kenyaVA,KQ101,Kenya Airways Boeing 787-8,8:47
HKJK,LFPG,Nairobi,flag_ke,Paris Charles de Gaulle,flag_fr,Kenya Airways,kenyaVA,KQ112,Kenya Airways Boeing 787-8,8:24
LFPG,HKJK,Paris Charles de Gaulle,flag_fr,Nairobi,flag_ke,Kenya Airways,kenyaVA,KQ113,Kenya Airways Boeing 787-8,8:24
HKJK,VABB,Nairobi,flag_ke,Mumbai,flag_in,Kenya Airways,kenyaVA,KQ202,Kenya Airways Boeing 737-800,5:43
VABB,HKJK,Mumbai,flag_in,Nairobi,flag_ke,Kenya Airways,kenyaVA,KQ205,Kenya Airways Boeing 737-800,5:43
HKJK,FSIA,Nairobi,flag_ke,Victoria,flag_sc,Kenya Airways,kenyaVA,KQ250,Kenya Airways E190,2:46
FSIA,HKJK,Victoria,flag_sc,Nairobi,flag_ke,Kenya Airways,kenyaVA,KQ251,Kenya Airways E190,2:46
HKJK,FMCH,Nairobi,flag_ke,Moroni,flag_km,Kenya Airways,kenyaVA,KQ264,Kenya Airways E190,1:55
FMCH,HKJK,Moroni,flag_km,Nairobi,flag_ke,Kenya Airways,kenyaVA,KQ265,Kenya Airways E190,1:55
HKJK,FIMP,Nairobi,flag_ke,Mauritius,flag_mu,Kenya Airways,kenyaVA,KQ270,"Kenya Airways Boeing 737-800, Kenya Airways E190",4:00
FIMP,HKJK,Mauritius,flag_mu,Nairobi,flag_ke,Kenya Airways,kenyaVA,KQ271,"Kenya Airways Boeing 737-800, Kenya Airways E190",4:00
HKJK,OMDB,Nairobi,flag_ke,Dubai,flag_ae,Kenya Airways,kenyaVA,KQ310,Kenya Airways Boeing 737-800,4:42
OMDB,HKJK,Dubai,flag_ae,Nairobi,flag_ke,Kenya Airways,kenyaVA,KQ311,Kenya Airways Boeing 737-800,4:42
HKJK,HJJJ,Nairobi,flag_ke,Juba,flag_ss,Kenya Airways,kenyaVA,KQ352,Kenya Airways E190,1:23
HJJJ,HKJK,Juba,flag_ss,Nairobi,flag_ke,Kenya Airways,kenyaVA,KQ353,Kenya Airways E190,1:23
HKJK,HAAB,Nairobi,flag_ke,Addis Ababa,flag_et,Kenya Airways,kenyaVA,KQ400,Kenya Airways E190,1:37
HAAB,HKJK,Addis Ababa,flag_et,Nairobi,flag_ke,Kenya Airways,kenyaVA,KQ401,Kenya Airways E190,1:37
HKJK,HUEN,Nairobi,flag_ke,Entebbe,flag_ug,Kenya Airways,kenyaVA,KQ418,Kenya Airways E190,0:52
HUEN,HKJK,Entebbe,flag_ug,Nairobi,flag_ke,Kenya Airways,kenyaVA,KQ419,Kenya Airways E190,0:52
HKJK,DNMM,Nairobi,flag_ke,Lagos,flag_ng,Kenya Airways,kenyaVA,KQ532,Kenya Airways Boeing 737-800,4:45
DNMM,HKJK,Lagos,flag_ng,Nairobi,flag_ke,Kenya Airways,kenyaVA,KQ533,Kenya Airways Boeing 737-800,4:45
HKJK,FWKI,Nairobi,flag_ke,Lilongwe,flag_mw,Kenya Airways,kenyaVA,KQ756(A),Kenya Airways E190,2:01
FWKI,FQNP,Lilongwe,flag_mw,Nampula,flag_mz,Kenya Airways,kenyaVA,KQ756(B),Kenya Airways E190,0:57
FQNP,HKJK,Nampula,flag_mz,Nairobi,flag_ke,Kenya Airways,kenyaVA,KQ756(C),Kenya Airways E190,2:07
HKJK,FACT,Nairobi,flag_ke,Cape Town,flag_za,Kenya Airways,kenyaVA,KQ784,Kenya Airways Boeing 737-800,5:09
FACT,HKJK,Cape Town,flag_za,Nairobi,flag_ke,Kenya Airways,kenyaVA,KQ785,Kenya Airways Boeing 737-800,5:09
HKJK,VTBS,Nairobi,flag_ke,Bangkok,flag_th,Kenya Airways,kenyaVA,KQ886(A),Kenya Airways Boeing 787-8,8:40
VTBS,ZGGG,Bangkok,flag_th,Guangzhou,flag_cn,Kenya Airways,kenyaVA,KQ886(B),Kenya Airways Boeing 787-8,2:22
ZGGG,VTBS,Guangzhou,flag_cn,Bangkok,flag_th,Kenya Airways,kenyaVA,KQ887(A),Kenya Airways Boeing 787-8,2:22
VTBS,HKJK,Bangkok,flag_th,Nairobi,flag_ke,Kenya Airways,kenyaVA,KQ887(B),Kenya Airways Boeing 787-8,8:40
LFMN,EDDF,Nice,flag_fr,Frankfurt,flag_de,Lufthansa,Luftytail,LH1059,"Lufthansa Airbus A320, Lufthansa Airbus A321",1:30
EDDF,LFMN,Frankfurt,flag_de,Nice,flag_fr,Lufthansa,Luftytail,LH1064,"Lufthansa Airbus A320, Lufthansa Airbus A321",1:30
EDDF,EPWA,Frankfurt,flag_de,Warsaw,flag_pl,Lufthansa,Luftytail,LH1346,"Lufthansa Airbus A320, Generic E190",1:50
EPWA,EDDF,Warsaw,flag_pl,Frankfurt,flag_de,Lufthansa,Luftytail,LH1347,"Lufthansa Airbus A320, Generic E190",1:50
EDDM,EDDK,Munich,flag_de,Cologne,flag_de,Lufthansa,Luftytail,LH1984,"Lufthansa Airbus A319, Lufthansa Airbus A320, Lufthansa Airbus A321, Lufthansa CityLine CRJ-900",1:05
EDDK,EDDM,Cologne,flag_de,Munich,flag_de,Lufthansa,Luftytail,LH1985,"Lufthansa Airbus A319, Lufthansa Airbus A320, Lufthansa Airbus A321, Lufthansa CityLine CRJ-900",1:05
EDDM,EDDH,Munich,flag_de,Hamburg,flag_de,Lufthansa,Luftytail,LH2070,"Lufthansa Airbus A319, Lufthansa Airbus A320, Lufthansa Airbus A321, Lufthansa CityLine CRJ-900",1:20
EDDH,EDDM,Hamburg,flag_de,Munich,flag_de,Lufthansa,Luftytail,LH2071,"Lufthansa Airbus A319, Lufthansa Airbus A320, Lufthansa Airbus A321, Lufthansa CityLine CRJ-900",1:20
EDDF,EDDH,Frankfurt,flag_de,Hamburg,flag_de,Lufthansa,Luftytail,LH22,"Lufthansa Airbus A319, Lufthansa Airbus A320, Lufthansa Airbus A321, Lufthansa CityLine CRJ-900",1:05
EDDM,LFMN,Munich,flag_de,Nice,flag_fr,Lufthansa,Luftytail,LH2272,"Lufthansa Airbus A319, Lufthansa Airbus A320, Lufthansa Airbus A321",1:25
LFMN,EDDM,Nice,flag_fr,Munich,flag_de,Lufthansa,Luftytail,LH2273,"Lufthansa Airbus A319, Lufthansa Airbus A320, Lufthansa Airbus A321",1:25
EDDH,EDDF,Hamburg,flag_de,Frankfurt,flag_de,Lufthansa,Luftytail,LH23,"Lufthansa Airbus A319, Lufthansa Airbus A320, Lufthansa Airbus A321, Lufthansa CityLine CRJ-900",1:05
EDDF,HECA,Frankfurt,flag_de,Cairo,flag_eg,Lufthansa,Luftytail,LH584,Lufthansa Airbus A321,4:10
HECA,EDDF,Cairo,flag_eg,Frankfurt,flag_de,Lufthansa,Luftytail,LH585,Lufthansa Airbus A321,4:10
EDDM,HECA,Munich,flag_de,Cairo,flag_eg,Lufthansa,Luftytail,LH586,Lufthansa Airbus A320,3:45
HECA,EDDM,Cairo,flag_eg,Munich,flag_de,Lufthansa,Luftytail,LH587,Lufthansa Airbus A320,3:45
EDDF,EDDL,Frankfurt,flag_de,Dusseldorf,flag_de,Lufthansa,Luftytail,LH84,"Lufthansa Airbus A319, Lufthansa Airbus A320, Lufthansa Airbus A321, Lufthansa CityLine CRJ-900",0:45
EDDL,EDDF,Dusseldorf,flag_de,Frankfurt,flag_de,Lufthansa,Luftytail,LH87,"Lufthansa Airbus A319, Lufthansa Airbus A320, Lufthansa Airbus A321, Lufthansa CityLine CRJ-900",0:45
HESN,HEBL,Aswan,flag_eg,Abu Simbel,flag_eg,EgyptAir,EgyptAir,MS145,EgyptAir Boeing 737-800,0:45
HEBL,HESN,Abu Simbel,flag_eg,Aswan,flag_eg,EgyptAir,EgyptAir,MS146,EgyptAir Boeing 737-800,0:45
HECA,HEBA,Cairo,flag_eg,Alexandria Borg El Arab,flag_eg,EgyptAir,EgyptAir,MS180,"EgyptAir Airbus A220-300, EgyptAir Boeing 737-800",0:30
HEBA,HECA,Alexandria Borg El Arab,flag_eg,Cairo,flag_eg,EgyptAir,EgyptAir,MS181,"EgyptAir Airbus A220-300, EgyptAir Boeing 737-800",0:30
HECA,HEMA,Cairo,flag_eg,Marsa Alam,flag_eg,EgyptAir,EgyptAir,MS184,"EgyptAir Airbus A220-300, EgyptAir Boeing 737-800",1:00
HEMA,HECA,Marsa Alam,flag_eg,Cairo,flag_eg,EgyptAir,EgyptAir,MS185,"EgyptAir Airbus A220-300, EgyptAir Boeing 737-800",1:00
HECA,HESG,Cairo,flag_eg,Sohag,flag_eg,EgyptAir,EgyptAir,MS186,EgyptAir Boeing 737-800,0:50
HESG,HECA,Sohag,flag_eg,Cairo,flag_eg,EgyptAir,EgyptAir,MS187,EgyptAir Boeing 737-800,0:50
HECA,HESH,Cairo,flag_eg,Sharm El Sheikh,flag_eg,EgyptAir,EgyptAir,MS20,"EgyptAir Airbus A220-300, EgyptAir Boeing 737-800",0:40
HESH,HECA,Sharm El Sheikh,flag_eg,Cairo,flag_eg,EgyptAir,EgyptAir,MS21,"EgyptAir Airbus A220-300, EgyptAir Boeing 737-800",0:40
HECA,GMFO,Cairo,flag_eg,Oujda,flag_ma,EgyptAir,EgyptAir,MS3007,EgyptAir Airbus A330-300,4:45
GMFO,HECA,Oujda,flag_ma,Cairo,flag_eg,EgyptAir,EgyptAir,MS3008,EgyptAir Airbus A330-300,4:45
HECA,GMMW,Cairo,flag_eg,Nador,flag_ma,EgyptAir,EgyptAir,MS3435,"Generic Boeing 787-9, EgyptAir Boeing 777-300ER",4:40
GMMW,HECA,Nador,flag_ma,Cairo,flag_eg,EgyptAir,EgyptAir,MS3436,"Generic Boeing 787-9, EgyptAir Boeing 777-300ER",4:40
HECA,HEGN,Cairo,flag_eg,Hurghada,flag_eg,EgyptAir,EgyptAir,MS42,"EgyptAir Airbus A220-300, EgyptAir Boeing 737-800",0:40
HELX,OEJN,Luxor,flag_eg,Jeddah,flag_sa,EgyptAir,EgyptAir,MS4283,EgyptAir Boeing 737-800,2:00
OEJN,HELX,Jeddah,flag_sa,Luxor,flag_eg,EgyptAir,EgyptAir,MS4284,EgyptAir Boeing 737-800,2:00
HEGN,HECA,Hurghada,flag_eg,Cairo,flag_eg,EgyptAir,EgyptAir,MS43,"EgyptAir Airbus A220-300, EgyptAir Boeing 737-800",0:40
HESN,OEJN,Aswan,flag_eg,Jeddah,flag_sa,EgyptAir,EgyptAir,MS4437,EgyptAir Boeing 737-800,1:30
OEJN,HESH,Jeddah,flag_sa,Sharm El Sheikh,flag_eg,EgyptAir,EgyptAir,MS4438,EgyptAir Boeing 737-800,1:30
VHHH,VTBS,Hong Kong,flag_hk,Bangkok,flag_th,EgyptAir,EgyptAir,MS510,EgyptAir Airbus A330-300,2:25
VTBS,VHHH,Bangkok,flag_th,Hong Kong,flag_hk,EgyptAir,EgyptAir,MS511,EgyptAir Airbus A330-300,2:25
HECA,HKJK,Cairo,flag_eg,Nairobi,flag_ke,EgyptAir,EgyptAir,MS512,EgyptAir Airbus A330-300,4:30
HKJK,HECA,Nairobi,flag_ke,Cairo,flag_eg,EgyptAir,EgyptAir,MS513,EgyptAir Airbus A330-300,4:30
HECA,EBOS,Cairo,flag_eg,Oostende,flag_be,EgyptAir,EgyptAir,MS520,EgyptAir Airbus A330-300,4:20
EBOS,HECA,Oostende,flag_be,Cairo,flag_eg,EgyptAir,EgyptAir,MS521,EgyptAir Airbus A330-300,4:20
HECA,EBLG,Cairo,flag_eg,Liege,flag_be,EgyptAir,EgyptAir,MS528,EgyptAir Airbus A330-300,4:15
EBLG,HECA,Liege,flag_be,Cairo,flag_eg,EgyptAir,EgyptAir,MS529,EgyptAir Airbus A330-300,4:15
HECA,LIMC,Cairo,flag_eg,Milan Malpensa,flag_it,EgyptAir,EgyptAir,MS532,"EgyptAir Airbus A330-300, EgyptAir Boeing 737-800",3:25
LIMC,HECA,Milan Malpensa,flag_it,Cairo,flag_eg,EgyptAir,EgyptAir,MS533,"EgyptAir Airbus A330-300, EgyptAir Boeing 737-800",3:25
HECA,DNKN,Cairo,flag_eg,Kano,flag_ng,EgyptAir,EgyptAir,MS550,"EgyptAir Airbus A330-300, EgyptAir Boeing 737-800",3:55
DNKN,HECA,Kano,flag_ng,Cairo,flag_eg,EgyptAir,EgyptAir,MS551,"EgyptAir Airbus A330-300, EgyptAir Boeing 737-800",3:55
HECA,DNMM,Cairo,flag_eg,Lagos,flag_ng,EgyptAir,EgyptAir,MS552,"EgyptAir Airbus A330-300, EgyptAir Boeing 737-800",4:40
DNMM,HECA,Lagos,flag_ng,Cairo,flag_eg,EgyptAir,EgyptAir,MS553,"EgyptAir Airbus A330-300, EgyptAir Boeing 737-800",4:40
